artificial	인공적인 / 부자연스러운
analyze	분석하다 / 평가하다
modernize	현대화하다 / 개선하다, 개혁하다
operation	운영 / 작전
medical	의학의, 의료의
block	덩어리 / 한 구획
individual	개인 / 개별적인, 개인적인
deadline	마감일, 기한 / 시한, 시간 제한
wrap	포장하다 / 덮다, 감싸다
trial	재판 / 시험, 시도
institute	기관, 연구소 / 설립하다
cooperation	협력 / 협조, 지원
resident	거주자 / 수련의
flight	비행, 항공 여행 / 계단의 층
department	부서, 학과 / 소매점의 부문
separate	분리하다 / 별개의, 독립된
ladder	사다리 / 승진 단계, 출세의 길
passenger	승객 / 동승자
closet	옷장, 작은 방 / 비밀로 하다, 감추다
rare	희귀한, 드문 / 거의 익지 않은
masterpiece	걸작, 명작 / 최고의 작품
broadcast	방송하다 / 방송, 방송 프로그램
retrieve	되찾다, 회수하다 / 정보를 검색하다
replacement	대체, 교체 / 후임자, 후임
storage	저장, 보관 / 저장소, 창고
hectic	매우 바쁜, 정신없이 분주한 / 험난한, 격렬한
vessel	배, 선박 / 용기, 그릇
resign	사임하다 / 체념하다, 포기하다
load	짐, 중량 / 짐을 싣다
supervisor	감독자 / 관리인
sculpture	조각, 조각 작품 / 조각하다
rent	임대하다 / 빌려주다
garage	차고 / 자동차 정비소
resource	자원 / 자료, 정보원
flavor	맛, 향 / 특정한 느낌, 분위기
alert	경고하다, 알리다 / 경보, 경고
rack	선반, 짐대 / 고통을 주다, 괴롭히다
acquisition	인수 / 획득
commercial	상업적인 / 광고
revise	수정하다 / 검토하다
outdated	구식의, 시대에 뒤떨어진
private	개인적인, 사적인 / 비공개의, 비밀의
tray	쟁반, 받침
entrance	입구, 진입로 / 입장
pharmacy	약국 / 약학
appeal	호소하다 / 항소하다
errand	심부름 / 사적인 용무
knob	손잡이 / 돌기
compile	자료를 모으다, 편집하다 / 프로그램을 컴파일하다
composer	작곡가
linger	오래 머무르다 / 냄새가 남아 있다
submit	제출하다 / 복종하다
abundant	풍부한, 많은 / 넘치는
sneeze	재채기 / 재채기하다
lease	임대 계약 / 임대하다
dine	식사하다 / 공식적인 자리에서 식사하다
priority	우선순위 / 긴급히 처리해야 할 사항
nominate	후보자로 지명하다 / 임명하다
observe	목격하다, 보다 / 준수하다
waste	낭비, 쓰레기 / 낭비하다
adjacent	인접한, 가까운 / 근접한
conflict	갈등, 충돌 / 충돌하다, 상충하다
target	목표 / 표적, 정조준의 대상
letterhead	편지 머리글 / 회사 이름과 주소가 인쇄된 편지지
pertinent	관련 있는, 적절한
compensation	보상, 배상 / 급여, 임금
participate	참가하다, 참여하다
retire	은퇴하다 / 물러나다, 퇴각하다
collective	집단의, 공동의 / 집단, 공동체
annually	매년
found	설립하다, 창립하다 / 발견했다, 찾았다
discourage	단념시키다, 못 하게 하다 / 사기를 꺾다
ticket	입장권, 관람권 / 교통 위반 티켓, 벌금 통지서
inquiry	질문, 문의 / 조사, 연구
dominate	지배하다 / 우위를 차지하다
signal	신호 / 신호를 보내다
allergic	알레르기가 있는 / 극도로 싫어하는
view	견해, 관점 / 전망, 경치
spicy	매운 / 자극적인, 흥미로운
entertain	즐겁게 하다 / 접대하다
manuscript	원고, 필사본
placement	배치, 놓기 / 고용 배치
accumulation	축적, 누적
hypothesis	가설 / 추정
component	구성 요소, 부품 / 성분, 재료
dehydrate	수분을 제거하다 / 탈수 상태로 만들다
fever	열, 발열 / 열정, 흥분
vaccinate	백신을 접종하다 / ~에 대한 백신을 접종하다
contagious	전염성의 / 영향을 주는
frigid	매우 추운 / 냉담한
pollution	오염, 공해 / 오염 행위
neighborhood	이웃, 인근 / 지역사회
exhibit	전시하다 / 드러내다, 보이다
turn	돌다, 방향을 바꾸다 / 바뀌다, 전환하다
vote	투표, 표 / 투표하다
coastal	해안의
definitely	확실히, 분명히
rest	휴식 / 나머지
prefer	더 좋아하다, 선호하다 / 제안하다, 추천하다
directory	목록, 안내 책자 / 컴퓨터 파일 구조
contain	포함하다, 담다 / 억제하다, 통제하다
valuable	귀중한, 중요한 / 귀중품
charity	자선 단체 / 자선 행위
comply	따르다, 준수하다
lock	잠그다 / 고정시키다
plant	식물 / 공장
province	주, 지방 / 책임이나 업무의 분야
decade	10년
appreciate	감사하다 / 진가를 알아보다
dental	치과의, 치아의 / 치과용의
patronage	후원, 지원 / 단골, 고객
venue	행사 장소 / 법정 관할지
book	책 / 예약하다
mechanic	기계공, 정비공 / 기술, 방법
fold	접다 / 사업이나 활동을 중단하다
achievement	성취, 달성
supplier	공급자, 공급업체
conductor	지휘자 / 전도체
appointment	약속, 예약 / 임명, 지명
contribution	기여, 공헌 / 기부금
certain	특정한 / 확신하는
personally	개인적으로 / 직접적으로
leave	떠나다 / 남기다
attachment	첨부 파일 / 애착, 정서적 유대
hand	손 / 도움
postpone	연기하다, 미루다 / 차일피일 미루다
regularly	정기적으로
addition	추가, 덧셈 / 부가물, 추가 부분
flier	광고 전단지 / 항공편 승객
inefficient	비효율적인
avoid	피하다 / 회피하다
stand	서다 / 견디다, 참다
entertainment	오락, 여흥 / 연예, 공연
tournament	대회, 토너먼트 / 시합
pack	짐을 싸다 / 포장하다
reduced	감소된, 축소된 / 할인된
retailer	소매업자, 소매점
directions	지시 / 길 안내
railing	난간
belong	속하다 / 어울리다, 적합하다
traditional	전통적인 / 구식의
electricity	전기
injure	상처를 입히다, 부상을 입히다 / 해치다, 손상시키다
patient	환자 / 참을성 있는, 인내심 있는
weed	잡초 / 잡초를 제거하다
patience	인내심 / 참을성
probably	아마도
water	물 / 물을 주다
save	저축하다 / 구하다
position	위치, 자리 / 직위, 일자리
activate	작동시키다 / 활성화하다
alteration	변경, 수정
artifact	인공물, 유물 / 인위적 산물, 인공적 흔적
assessment	평가 / 검토
flammable	가연성의, 불이 붙기 쉬운 / 가연물
integral	필수적인 / 완전한
inaugural	취임의 / 첫 번째의, 개시의
intensive	집중적인 / 강한, 강력한
statistics	통계, 통계 자료 / 통계학
overwhelming	압도적인, 강력한 / 극도의, 극심한
void	빈 공간 / 무효의
tactic	전술, 전략, 방법 / 약삭빠르게 사용하는 수단
heritage	문화유산 / 전통
discard	버리다 / 없애다, 제거하다
disposable	일회용의 / 일회용품
chronicle	연대기, 기록 / 기록하다, 연대순으로 이야기하다
fundraising	자금 모금 활동 / 자금 조달
pertain	관련되다 / 적용되다
consideration	고려 / 배려
distributed	분배된, 배포된 / 퍼진, 흩어진
loss	손실 / 감량, 감소
experience	경험 / 경험하다
local	특정 지역의, 현지의 / 지역 주민
predict	예측하다
regarding	무엇에 관하여
accordingly	그에 따라, 따라서
limited	제한된, 한정된 / 부족한, 충분하지 않은
expiration	만료 / 종료
automated	자동화된 / 자동으로 작동하는
enclosed	둘러싸다 / 동봉하다
accomplished	능숙한, 성취한
stable	안정된 / 변하지 않는, 견고한
mutually	상호 간에 / 서로 간에
prescription	처방전 / 권장 사항
cancellation	취소
price	가격 / 가격을 매기다
carefully	주의 깊게, 신중하게 / 세심하게
foremost	가장 중요한 / 선두의, 일류의
generously	아낌없이, 관대하게
specialization	전문화 / 특수화
preparation	준비, 준비 작업 / 대비, 대비책
transition	변화, 전환 / 변천하다, 전환하다
productive	생산성이 높은 / 결실이 있는, 유익한
unfavorable	호의적이지 않은 / 불리한
boardroom	이사회 회의실 / 고위 경영 회의 공간
ambitious	야심 있는
enlarge	크기를 확대하다 / 범위를 확장하다
apparent	명백한, 분명한 / 겉보기의, 외관상
briefly	잠시 동안 / 간단히
regain	되찾다
duplication	복제 / 중복
paperwork	서류 작업
unanimously	만장일치로
general	일반적인 / 전체적인
usual	보통의, 평소의 / 흔히 있는, 일상적인
exceed	초과하다 / 넘어서다, 뛰어넘다
pretty	예쁜, 매력적인 / 꽤, 상당히
suited	어울리거나 적합한 / 준비된, 맞춰진
familiarity	친숙함, 잘 알고 있음 / 친밀함
seek	찾다 / 추구하다
invite	초대하다, 요청하다 / 권유하다, 초래하다
independently	독립적으로 / 자율적으로
diligent	근면한, 성실한
inexperienced	경험이 없는, 미숙한
leadership	지도력, 리더십
moderately	적당히 / 중간 정도로
customized	맞춤형의, 개인화된
preferential	특혜의 / 우선적인
effectiveness	효과적임, 효율성
inexpensive	저렴한, 비용이 낮은
sharply	급격하게 / 날카롭게
discreetly	신중하게
periodic	주기적인
exponentially	기하급수적으로
outgoing	외향적인, 사교적인 / 퇴임하는, 떠나는
welcome	환영하다 / 환영받는, 반가운
support	지지하다, 지원하다 / 지원
informal	격식을 차리지 않는 / 비공식적인
excellence	뛰어남, 탁월함
inspiring	영감을 주는 / 영감을 받은
acceptable	받아들일 수 있는 / 수용 가능한
amendment	수정, 변경 / 개정
breakable	파손되기 쉬운
trade	무역, 거래 / 교환하다, 거래하다
descending	내려가는, 하향의 / 내림차순의
fluctuation	변동, 오르내림
lure	유혹하다 / 유혹, 매혹
perfectly	완벽하게 / 전적으로
utilities	공공서비스, 공과금 / 유용성, 유틸리티
loyalty	충성, 헌신 / 신뢰, 신의
individually	개별적으로 / 각각
shortcoming	결점, 단점
unrivaled	비할 데 없는, 유일무이한
accommodations	숙박 시설
frozen	얼린 / 정지된
stay	머무르다, 체재하다 / 계속하다, 유지하다
courtyard	안마당, 중정
tourist	관광객 / 여행객
canceled	취소된 / 취소하다
landmark	주요 지형지물 / 중요한 사건, 이정표
frequent	자주 방문하다 / 빈번한
nightly	매일 밤의, 밤마다의 / 매일 밤
holder	소지자, 보유자 / 자, 받침대
resounding	울리는, 울려퍼지는 / 압도적인, 확실한
worldwide	세계적인 / 전 세계적으로
theatrical	연극의, 연극적인
proudly	자랑스럽게
theatergoer	연극 애호가, 관람객
appraise	평가하다 / 감정하다
discretionary	자유 재량의
unease	불안, 걱정
located	위치한 / 위치를 찾다
distinctive	독특한, 다른 것들과 구별되는 / 구별되는, 특유의
plumbing	배관 작업, 설비
daily	매일의 / 매일
coincide	동시에 발생하다 / 일치하다
improvement	개선, 향상 / 개선된 것, 개량품
anecdote	짧은 이야기, 일화
enrollment	등록, 입학 / 등록자 수
avid	열렬한, 열광적인
indoor	실내의
critically	비판적으로 / 결정적으로
socialize	사람들과 어울리다 / 친화적인 환경을 조성하다
develop	개발하다 / 발달하다
culminate	최고조에 달하다 / 끝이 나다, 마무리되다
acclaimed	칭찬받는, 호평을 받는
care	주의, 신경 씀 / 돌봄, 관리
ergonomic	인체공학적인
relaxed	긴장이 풀린, 편안한 / 느긋한
notable	주목할 만한, 중요한 / 유명인사, 저명한 사람
richly	풍부하게 / 충분히
strategically	전략적으로
borrow	빌리다
appendix	부록 / 맹장
autobiography	자서전
inaccuracy	부정확성, 오류 / 불명확함
affiliation	소속, 연계
capability	능력, 역량
casually	비공식적으로, 편하게 / 무심코, 우연히
inspection	검사, 점검 / 사찰, 감찰
mental	정신의, 마음의
infectious	전염성의 / 전염력이 있는
conservation	보존, 보호 / 절약
splendor	화려함, 웅장함
ancient	고대의, 오래된 / 고대인
flooding	홍수
disappointed	실망한
frustrated	좌절감을 느끼는 / 좌절, 불만
breathtakingly	숨 막히게, 놀랍게도
delighted	매우 기쁜 / 즐거운
familiar	익숙한, 잘 알고 있는 / 친숙한
uncomfortably	불편하게
impressed	깊은 인상을 주다 / 감동을 주다
convinced	확신한 / 확신시키다, 설득시키다
afraid	두려워하는, 겁내는 / 걱정하는
bring	가져오다 / 사람을 데려오다
infrequently	드물게, 가끔 / 빈번하지 않게
rectangular	직사각형의 / 직각의
substance	물질, 소재 / 핵심, 요지
luxury	사치, 호화 / 고급의, 사치스러운
story	이야기 / 기사, 보도
